Style#,Style Description,Class,Color Description,Ticketed Retail,Ticketed GM%,Actual Retail,Actual GM%,Image url
772336,CLASSIC STRAIGHT KHAKI,BASICS,CARMEL,$49.50 ,75.33%,$35.00 ,65.11%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772337,CLASSIC RELAXED KHAKI,BASICS,CARMEL,$49.50 ,74.59%,$35.00 ,64.06%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772339,TAILORED STRAIGHT KHAKI,BASICS,CHINO,$49.50 ,72.59%,$35.00 ,61.23%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772340,TAILORED RELAXED KHAKI,BASICS,CHINO,$49.50 ,71.92%,$35.00 ,60.29%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772342,VINTAGE KHAKI,FASH BOT,CHINO ACORN,$49.50 ,73.96%,$35.00 ,60.29%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772345,TAILORED STRAIGHT MELANGE,FASH BOT,GREY HEATHER,$59.50 ,77.19%,$59.50 ,77.19%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
776470,TAILORED RELAXED MELANGE,FASH BOT,GREY HEATHER,$59.50 ,76.81%,$59.50 ,76.81%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
814557,TS NAVY STRIPE (TAILORED STRAIGHT),FASH BOT,NAVY STRIPE,$59.50 ,77.76%,$59.50 ,76.81%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
814558,TS GREY DOT STRIPE (TAILORED STRAIGHT),FASH BOT,GREY,$59.50 ,79.45%,$59.50 ,76.81%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772346,TAILORED SLIM MELANGE,FASH BOT,GREY HEATHER,$59.50 ,77.36%,$59.50 ,77.36%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
814566,PARACHUTE PANT,FASH BOT,CHINO FATIGUE,$49.50 ,69.74%,$49.50 ,69.74%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
814562,TSLIM NAVY STRIPE (TAILORED SLIM),FASH BOT,NAVY STRIPE,$59.50 ,77.83%,$59.50 ,69.74%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
814563,TSLIM GREY DOT STRIPE (TAILORED SLIM),FASH BOT,GREY,$59.50 ,79.50%,$59.50 ,69.74%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
840779,GARMENT DYED SLIM KHAKI,FASH BOT,BLUE,$59.95 ,76.38%,$59.95 ,76.38%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
840782,SLOUCH SLIM GARMENT DYED KHAKI,FASH BOT,CHINO GREY 92027,$59.95 ,73.18%,$59.95 ,73.18%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
